"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"icssvc","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Hotspot M?vel do Windows","System.ServiceProcess.ServiceController[]",".","icssvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"igccservice","System.ServiceProcess.ServiceController[]","True","True","True","Intel(R) Graphics Command Center Service","System.ServiceProcess.ServiceController[]",".","igccservice","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"igfxCUIService2.0.0.0","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) HD Graphics Control Panel Service","System.ServiceProcess.ServiceController[]",".","igfxCUIService2.0.0.0","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"IKEEXT","System.ServiceProcess.ServiceController[]","False","True","True","M?dulos de Cria??o de Chaves IKE e AuthIP do IPSec","System.ServiceProcess.ServiceController[]",".","IKEEXT","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"InstallService","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Instala??o da Microsoft Store","System.ServiceProcess.ServiceController[]",".","InstallService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"Intel(R) Capability Licensing Service TCP IP Interface","System.ServiceProcess.ServiceController[]","False","False","False","Intel(R) Capability Licensing Service TCP IP Interface","System.ServiceProcess.ServiceController[]",".","Intel(R) Capability Licensing Service TCP IP Interface","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"Intel(R) TPM Provisioning Service","System.ServiceProcess.ServiceController[]","False","False","False","Intel(R) TPM Provisioning Service","System.ServiceProcess.ServiceController[]",".","Intel(R) TPM Provisioning Service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"iphlpsvc","System.ServiceProcess.ServiceController[]","False","False","True","Auxiliar de IP","System.ServiceProcess.ServiceController[]",".","iphlpsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"IpxlatCfgSvc","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Configura??o de Convers?o de IP","System.ServiceProcess.ServiceController[]",".","IpxlatCfgSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"iVPAgent","System.ServiceProcess.ServiceController[]","False","True","False","Trend Micro Vulnerability Protection Service (Agent)","System.ServiceProcess.ServiceController[]",".","iVPAgent","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"jhi_service","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) Dynamic Application Loader Host Interface Service","System.ServiceProcess.ServiceController[]",".","jhi_service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"KeyIso","System.ServiceProcess.ServiceController[]","False","False","True","Isolamento de Chave CNG","System.ServiceProcess.ServiceController[]",".","KeyIso","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"KtmRm","System.ServiceProcess.ServiceController[]","False","False","False","KtmRm para Coordenador de Transa??es Distribu?das","System.ServiceProcess.ServiceController[]",".","KtmRm","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"LanmanServer","System.ServiceProcess.ServiceController[]","False","False","True","Server","System.ServiceProcess.ServiceController[]",".","LanmanServer","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"LanmanWorkstation","System.ServiceProcess.ServiceController[]","True","False","True","Esta??o de trabalho","System.ServiceProcess.ServiceController[]",".","LanmanWorkstation","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"lfsvc","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Geolocaliza??o","System.ServiceProcess.ServiceController[]",".","lfsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"LicenseManager","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Gerenciador de Licen?a do Windows","System.ServiceProcess.ServiceController[]",".","LicenseManager","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"lltdsvc","System.ServiceProcess.ServiceController[]","False","False","False","Mapeador da Descoberta de Topologia da Camada de Link","System.ServiceProcess.ServiceController[]",".","lltdsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"lmhosts","System.ServiceProcess.ServiceController[]","False","False","True","Auxiliar NetBIOS TCP/IP","System.ServiceProcess.ServiceController[]",".","lmhosts","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"LMS","System.ServiceProcess.ServiceController[]","False","True","True","Intel(R) Management and Security Application Local Management Service","System.ServiceProcess.ServiceController[]",".","LMS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"LNSUSvc","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de atualiza??o inteligente do IBM Notes       ","System.ServiceProcess.ServiceController[]",".","LNSUSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, InteractiveProcess","Disabled",,
"lpasvc","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Policy Platform Local Authority","System.ServiceProcess.ServiceController[]",".","lpasvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"lppsvc","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Policy Platform Processor","System.ServiceProcess.ServiceController[]",".","lppsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"LSM","System.ServiceProcess.ServiceController[]","False","False","False","Gerenciador de Sess?o Local","System.ServiceProcess.ServiceController[]",".","LSM","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"LxpSvc","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Experi?ncia em Idiomas","System.ServiceProcess.ServiceController[]",".","LxpSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"LxssManager","System.ServiceProcess.ServiceController[]","False","False","False","LxssManager","System.ServiceProcess.ServiceController[]",".","LxssManager","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"LxssManagerUser_1b43a1","System.ServiceProcess.ServiceController[]","False","False","False","LxssManagerUser_1b43a1","System.ServiceProcess.ServiceController[]",".","LxssManagerUser_1b43a1","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"MapsBroker","System.ServiceProcess.ServiceController[]","False","False","False","Gerenciador de Mapas Baixados","System.ServiceProcess.ServiceController[]",".","MapsBroker","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"McpManagementService","System.ServiceProcess.ServiceController[]","False","False","False","McpManagementService","System.ServiceProcess.ServiceController[]",".","McpManagementService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"MessagingService_1b43a1","System.ServiceProcess.ServiceController[]","False","False","False","MessagingService_1b43a1","System.ServiceProcess.ServiceController[]",".","MessagingService_1b43a1","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"MicrosoftEdgeElevationService","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","System.ServiceProcess.ServiceController[]",".","MicrosoftEdgeElevationService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"MicrosoftSearchInBing","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Search in Bing","System.ServiceProcess.ServiceController[]",".","MicrosoftSearchInBing","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"MixedRealityOpenXRSvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Mixed Reality OpenXR Service","System.ServiceProcess.ServiceController[]",".","MixedRealityOpenXRSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"MozillaMaintenance","System.ServiceProcess.ServiceController[]","False","False","False","Mozilla Maintenance Service","System.ServiceProcess.ServiceController[]",".","MozillaMaintenance","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"mpssvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Defender Firewall","System.ServiceProcess.ServiceController[]",".","mpssvc","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"MSDTC","System.ServiceProcess.ServiceController[]","False","True","True","Coordenador de transa??es distribu?das","System.ServiceProcess.ServiceController[]",".","MSDTC","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"MSiSCSI","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o Iniciador Microsoft iSCSI","System.ServiceProcess.ServiceController[]",".","MSiSCSI","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"msiserver","System.ServiceProcess.ServiceController[]","False","True","True","Windows Installer","System.ServiceProcess.ServiceController[]",".","msiserver","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"MsKeyboardFilter","System.ServiceProcess.ServiceController[]","False","False","False","Filtro de Teclado da Microsoft","System.ServiceProcess.ServiceController[]",".","MsKeyboardFilter","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"Multi-user Cleanup Service","System.ServiceProcess.ServiceController[]","False","True","True","Multi-user Cleanup Service","System.ServiceProcess.ServiceController[]",".","Multi-user Cleanup Service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, InteractiveProcess","Automatic",,
"NaturalAuthentication","System.ServiceProcess.ServiceController[]","False","False","False","Autentica??o Natural","System.ServiceProcess.ServiceController[]",".","NaturalAuthentication","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"NcaSvc","System.ServiceProcess.ServiceController[]","False","False","False","Assistente de Conectividade de Rede","System.ServiceProcess.ServiceController[]",".","NcaSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"NcbService","System.ServiceProcess.ServiceController[]","False","False","True","Agente de Conex?o de Rede","System.ServiceProcess.ServiceController[]",".","NcbService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NcdAutoSetup","System.ServiceProcess.ServiceController[]","False","False","False","Instala??o Autom?tica de Dispositivos Conectados ? Rede","System.ServiceProcess.ServiceController[]",".","NcdAutoSetup","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Netlogon","System.ServiceProcess.ServiceController[]","True","False","True","Logon de rede","System.ServiceProcess.ServiceController[]",".","Netlogon","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"Netman","System.ServiceProcess.ServiceController[]","False","False","True","Conex?es de Rede","System.ServiceProcess.ServiceController[]",".","Netman","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"netprofm","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o da Lista de Redes","System.ServiceProcess.ServiceController[]",".","netprofm","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NetSetupSvc","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Configura??o de Rede","System.ServiceProcess.ServiceController[]",".","NetSetupSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"NetTcpPortSharing","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Compartilhamento de Porta Net.Tcp","System.ServiceProcess.ServiceController[]",".","NetTcpPortSharing","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"NgcCtnrSvc","System.ServiceProcess.ServiceController[]","False","False","False","Cont?iner do Microsoft Passport","System.ServiceProcess.ServiceController[]",".","NgcCtnrSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"NgcSvc","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Passport","System.ServiceProcess.ServiceController[]",".","NgcSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"NlaSvc","System.ServiceProcess.ServiceController[]","False","False","True","Reconhecimento de Locais de Rede","System.ServiceProcess.ServiceController[]",".","NlaSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"nsi","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Interface de Reposit?rio de Rede","System.ServiceProcess.ServiceController[]",".","nsi","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"ntrtscan","System.ServiceProcess.ServiceController[]","False","True","False","Apex One NT RealTime Scan","System.ServiceProcess.ServiceController[]",".","ntrtscan","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"nvagent","System.ServiceProcess.ServiceController[]","False","True","True","Servi?o de Virtualiza??o de Rede","System.ServiceProcess.ServiceController[]",".","nvagent","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NVDisplay.ContainerLocalSystem","System.ServiceProcess.ServiceController[]","False","True","True","NVIDIA Display Container LS","System.ServiceProcess.ServiceController[]",".","NVDisplay.ContainerLocalSystem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"NVWMI","System.ServiceProcess.ServiceController[]","False","False","True","NVIDIA WMI Provider","System.ServiceProcess.ServiceController[]",".","NVWMI","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"OfficeSvcManagerAddons","System.ServiceProcess.ServiceController[]","False","False","False","OfficeSvcManagerAddons","System.ServiceProcess.ServiceController[]",".","OfficeSvcManagerAddons","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"OneSyncSvc_1b43a1","System.ServiceProcess.ServiceController[]","False","False","True","Host de Sincroniza??o_1b43a1","System.ServiceProcess.ServiceController[]",".","OneSyncSvc_1b43a1","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","224","Automatic",,
"ose","System.ServiceProcess.ServiceController[]","False","False","False","Office  Source Engine","System.ServiceProcess.ServiceController[]",".","ose","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"p2pimsvc","System.ServiceProcess.ServiceController[]","False","False","False","Gerenciador de Identidades de Rede de Par","System.ServiceProcess.ServiceController[]",".","p2pimsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"p2psvc","System.ServiceProcess.ServiceController[]","False","False","False","Agrupamento de Rede de Par","System.ServiceProcess.ServiceController[]",".","p2psvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PcaSvc","System.ServiceProcess.ServiceController[]","False","True","True","Servi?o Auxiliar de Compatibilidade de Programas","System.ServiceProcess.ServiceController[]",".","PcaSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"PeerDistSvc","System.ServiceProcess.ServiceController[]","False","False","False","BranchCache","System.ServiceProcess.ServiceController[]",".","PeerDistSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"perceptionsimulation","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Simula??o de Percep??o do Windows","System.ServiceProcess.ServiceController[]",".","perceptionsimulation","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"PerfHost","System.ServiceProcess.ServiceController[]","False","False","False","Host de DLL de Contador de Desempenho","System.ServiceProcess.ServiceController[]",".","PerfHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"PhoneSvc","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Telefonia","System.ServiceProcess.ServiceController[]",".","PhoneSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"pibufss","System.ServiceProcess.ServiceController[]","False","False","False","PI Buffer Subsystem","System.ServiceProcess.ServiceController[]",".","pibufss","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"pilogsrv","System.ServiceProcess.ServiceController[]","True","True","True","PIPC Log Server","System.ServiceProcess.ServiceController[]",".","pilogsrv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"pilogsrvX64","System.ServiceProcess.ServiceController[]","True","True","True","PIPC Log Server x64","System.ServiceProcess.ServiceController[]",".","pilogsrvX64","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"PimIndexMaintenanceSvc_1b43a1","System.ServiceProcess.ServiceController[]","False","False","True","Dados de Contato_1b43a1","System.ServiceProcess.ServiceController[]",".","PimIndexMaintenanceSvc_1b43a1","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","224","Manual",,
"pimsgss","System.ServiceProcess.ServiceController[]","True","True","True","PI Message Subsystem","System.ServiceProcess.ServiceController[]",".","pimsgss","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"pinetmgr","System.ServiceProcess.ServiceController[]","True","True","True","PI Network Manager","System.ServiceProcess.ServiceController[]",".","pinetmgr","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"pla","System.ServiceProcess.ServiceController[]","False","False","False","Logs e alertas de desempenho","System.ServiceProcess.ServiceController[]",".","pla","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PlugPlay","System.ServiceProcess.ServiceController[]","False","True","True","Plug and Play","System.ServiceProcess.ServiceController[]",".","PlugPlay","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"PNRPAutoReg","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Publica??o de Nome de Computador do PNRP","System.ServiceProcess.ServiceController[]",".","PNRPAutoReg","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PNRPsvc","System.ServiceProcess.ServiceController[]","False","False","False","Protocolo PNRP","System.ServiceProcess.ServiceController[]",".","PNRPsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PolicyAgent","System.ServiceProcess.ServiceController[]","False","True","True","Agente de Pol?tica IPsec","System.ServiceProcess.ServiceController[]",".","PolicyAgent","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Power","System.ServiceProcess.ServiceController[]","False","False","False","Desligar","System.ServiceProcess.ServiceController[]",".","Power","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"PrintNotify","System.ServiceProcess.ServiceController[]","False","False","False","Extens?es e Notifica??es da Impressora","System.ServiceProcess.ServiceController[]",".","PrintNotify","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess, InteractiveProcess","Manual",,
"PrintWorkflowUserSvc_1b43a1","System.ServiceProcess.ServiceController[]","False","False","True","PrintWorkflow_1b43a1","System.ServiceProcess.ServiceController[]",".","PrintWorkflowUserSvc_1b43a1","System.ServiceProcess.ServiceController[]",,"Running","240","Manual",,
"ProfSvc","System.ServiceProcess.ServiceController[]","False","True","True","Servi?o de Perfil de Usu?rio","System.ServiceProcess.ServiceController[]",".","ProfSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"PushToInstall","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o Windows PushToInstall","System.ServiceProcess.ServiceController[]",".","PushToInstall","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"QWAVE","System.ServiceProcess.ServiceController[]","False","False","False","Quality Windows Audio Video Experience","System.ServiceProcess.ServiceController[]",".","QWAVE","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"RasAuto","System.ServiceProcess.ServiceController[]","False","False","False","Gerenciador de conex?o de acesso remoto autom?tico","System.ServiceProcess.ServiceController[]",".","RasAuto","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"RasMan","System.ServiceProcess.ServiceController[]","False","True","True","Gerenciador de conex?o de acesso remoto","System.ServiceProcess.ServiceController[]",".","RasMan","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"RemoteAccess","System.ServiceProcess.ServiceController[]","False","False","False","Roteamento e Acesso Remoto","System.ServiceProcess.ServiceController[]",".","RemoteAccess","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"RemoteRegistry","System.ServiceProcess.ServiceController[]","False","False","False","Registro remoto","System.ServiceProcess.ServiceController[]",".","RemoteRegistry","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Automatic",,
"RetailDemo","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Demonstra??o de Revenda","System.ServiceProcess.ServiceController[]",".","RetailDemo","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"RmSvc","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Gerenciamento de R?dio","System.ServiceProcess.ServiceController[]",".","RmSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"RpcEptMapper","System.ServiceProcess.ServiceController[]","False","False","False","Mapeador de Ponto de Extremidade RPC","System.ServiceProcess.ServiceController[]",".","RpcEptMapper","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"RpcLocator","System.ServiceProcess.ServiceController[]","False","False","False","Alocador Remote Procedure Call (RPC)","System.ServiceProcess.ServiceController[]",".","RpcLocator","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"RpcSs","System.ServiceProcess.ServiceController[]","False","False","False","RPC (Chamada de Procedimento Remoto)","System.ServiceProcess.ServiceController[]",".","RpcSs","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"RtkAudioUniversalService","System.ServiceProcess.ServiceController[]","False","True","True","Realtek Audio Universal Service","System.ServiceProcess.ServiceController[]",".","RtkAudioUniversalService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SamSs","System.ServiceProcess.ServiceController[]","False","False","False","Gerente de Contas de Seguran?a","System.ServiceProcess.ServiceController[]",".","SamSs","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"SCardSvr","System.ServiceProcess.ServiceController[]","False","False","False","Cart?o inteligente","System.ServiceProcess.ServiceController[]",".","SCardSvr","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ScDeviceEnum","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Enumera??o de Dispositivo de Cart?o Inteligente","System.ServiceProcess.ServiceController[]",".","ScDeviceEnum","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Schedule","System.ServiceProcess.ServiceController[]","False","True","True","Agendador de Tarefas","System.ServiceProcess.ServiceController[]",".","Schedule","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"scpbradserv","System.ServiceProcess.ServiceController[]","False","True","True","Componente de Seguran?a Bradesco","System.ServiceProcess.ServiceController[]",".","scpbradserv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SCPolicySvc","System.ServiceProcess.ServiceController[]","False","False","False","Pol?tica de Remo??o de Cart?o Inteligente","System.ServiceProcess.ServiceController[]",".","SCPolicySvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"SDRSVC","System.ServiceProcess.ServiceController[]","False","False","False","Backup do Windows","System.ServiceProcess.ServiceController[]",".","SDRSVC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"seclogon","System.ServiceProcess.ServiceController[]","True","False","False","Logon secund?rio","System.ServiceProcess.ServiceController[]",".","seclogon","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"SecurityHealthService","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Seguran?a do Windows","System.ServiceProcess.ServiceController[]",".","SecurityHealthService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"SEMgrSvc","System.ServiceProcess.ServiceController[]","False","False","False","Gerenciador de NFC/SE e Pagamentos","System.ServiceProcess.ServiceController[]",".","SEMgrSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"SENS","System.ServiceProcess.ServiceController[]","False","False","True","Servi?o de Notifica??o de Eventos do Sistema","System.ServiceProcess.ServiceController[]",".","SENS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Sense","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o Prote??o Avan?ada contra Amea?as do Windows Defender","System.ServiceProcess.ServiceController[]",".","Sense","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"SensorDataService","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Dados de Sensor","System.ServiceProcess.ServiceController[]",".","SensorDataService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"SensorService","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Sensor","System.ServiceProcess.ServiceController[]",".","SensorService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"SensrSvc","System.ServiceProcess.ServiceController[]","False","False","False","Servi?o de Monitoramento de Sensor","System.ServiceProcess.ServiceController[]",".","SensrSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
